经度索引,纬度索引,count
40,10,12
78,13,1
122,76,6
36,76,15974
48,56,1187
49,44,4019
55,48,13745
62,32,82360
69,36,1186911
74,47,2997257
79,45,3091184
82,40,3834060
87,34,46784
100,40,3732
117,20,2077
125,1,999
81,56,62305
109,3,147
115,0,12
52,67,582
93,3,27
32,52,107
36,46,800
57,68,3
28,29,32
30,26,209
36,49,28
68,11,124
112,64,53
45,6,31
44,42,64
108,51,927
112,7,2
53,82,62
43,62,15
80,3,7
24,66,65
58,65,45
119,62,1255
50,40,67
50,30,7
2,43,669
75,64,229
47,47,1
128,15,12
22,48,16
106,72,8
59,60,3
46,2,5
74,67,60
3,18,59
31,10,79
39,8,30
103,34,20
58,11,1
45,60,22
30,49,1
117,46,120
35,80,1808
36,79,753
65,39,209517
65,51,103752
68,52,91267
71,36,2313730
74,34,2134279
81,36,1507319
83,29,9846
83,52,64455
84,33,269473
84,37,3223050
87,59,30641
88,31,59844
94,57,13900
96,67,830
110,57,2175
124,11,4543
59,58,16646
70,78,1238
124,47,2844
51,57,312
93,58,290
94,79,154
109,55,213
54,28,178
64,70,301
89,15,1593
97,56,122
98,2,222
98,75,3597
102,7,95
105,13,890
15,13,354
24,29,2074
69,61,1038
101,49,150
85,78,481
54,62,2728
88,19,29
69,69,1013
26,52,166
110,72,15
76,18,4
80,23,269
87,64,340
63,21,670
76,17,476
31,63,197
27,0,13
51,19,101
14,28,3
86,71,40
55,22,47
54,80,29
58,62,2
81,68,20
122,26,22
47,33,75
90,62,195
58,64,129
38,71,23
110,74,8
46,46,20
103,46,2
124,53,5
27,69,79
118,47,5
46,57,2
80,61,13
16,62,2
69,73,2
50,45,3559
50,52,1744
62,43,150615
62,55,21350
69,19,9883
71,64,7864
73,62,169
78,39,11863146
81,38,1198687
90,61,7155
41,37,3175
73,82,1322
122,56,1296
41,2,89
53,56,78
101,11,1
109,64,2241
111,66,155
126,64,737
47,11,931
61,41,5949
89,12,428
15,17,309
90,57,2298
20,14,3394
35,73,378
71,81,451
117,6,320
93,36,986
89,41,2360
34,49,1136
97,47,118
24,50,217
41,12,482
69,13,2514
63,60,71
109,40,9
11,38,163
86,78,45
123,17,141
34,20,52
76,70,1
52,76,33
126,61,172
128,62,135
41,73,1
45,25,161
31,23,32
128,13,21
54,61,2576
18,28,3
14,3,67
116,9,15
83,66,48
56,79,9
59,67,1066
59,20,164
52,8,33
37,27,3
108,11,5
93,76,2
121,49,76
89,19,26
75,79,13
27,47,4
54,19,3
30,32,1
104,12,2
117,12,1
89,68,5
30,64,1422
38,6,545
63,16,5205
64,50,43329
65,32,8068
66,33,153526
66,46,4159
75,23,40074
118,25,1068
121,7,2651
33,27,556
37,26,81
52,57,1073
82,49,19075
124,56,798
83,61,1768
40,7,403
101,6,246
19,25,2017
53,62,798
22,7,6
57,23,70
31,54,101
49,51,776
51,1,86
42,34,266
116,65,490
20,60,133
56,59,1099
28,11,33
19,82,14
59,76,442
17,36,270
70,13,159
20,30,52
25,34,108
98,25,20
98,82,47
107,7,8
90,16,60
49,82,23
63,74,346
71,12,22
82,77,5
82,24,140
40,15,2
119,42,41
43,44,248
91,15,88
59,48,40
97,51,37
93,80,8
77,69,45
5,2,40
6,4,10
93,14,1
110,55,4
126,26,1
103,53,93
26,57,75
22,68,7
33,59,39
113,73,1
89,67,14
28,63,1223
54,2,2125
55,7,4756
60,54,10127
61,55,32408
70,50,66533
70,51,172779
72,23,43906
72,65,4614
74,31,355480
74,37,8486396
76,32,3857613
77,46,4096959
81,20,2283
81,53,253401
82,54,106852
74,6,3360
97,72,11816
121,56,3864
74,57,36590
40,6,42
48,15,1230
78,20,4121
55,10,883
59,47,757
50,47,9
77,0,13
88,52,1469
26,12,218
30,50,528
39,72,152
63,7,187
73,61,3883
55,37,27
57,50,106
52,16,1665
78,70,2
105,39,174
102,71,52
116,7,236
64,10,136
107,81,88
46,54,282
80,18,698
57,13,797
98,66,1557
86,80,62
52,17,62
93,60,73
45,8,2
25,22,44
121,34,116
47,29,82
87,20,66
82,25,372
117,50,157
21,12,155
85,15,78
47,36,13
49,36,39
104,36,1
126,37,3
128,14,10
39,22,11
91,11,22
94,11,37
106,28,9
62,70,21
86,76,1
10,51,3
39,27,13
100,53,37
111,7,3
24,10,38
11,18,8
127,22,3
43,69,3109
45,58,252
64,42,197328
67,33,118858
68,23,8517
71,57,7869
74,41,9263900
75,19,1245
77,32,311971
77,50,270674
78,58,38602
82,16,2151
85,49,79635
89,29,13037
89,44,3263
100,25,7652
102,62,4290
109,61,6441
119,11,1178
44,65,320
50,43,2170
57,32,787
58,41,1718
71,20,1369
72,81,1253
53,1,358
97,75,7741
86,12,838
91,30,1092
97,53,203
104,19,2602
19,15,1862
72,82,744
56,25,323
105,15,127
23,1,93
27,12,197
39,71,176
69,63,231
109,69,7
104,44,48
117,25,51
25,55,1625
94,62,1680
26,53,330
43,64,85
30,62,31
109,41,41
60,76,188
44,6,11
121,27,40
40,35,642
36,10,19
127,32,9
109,31,8
57,31,64
99,31,413
56,19,49
86,23,201
36,51,88
109,34,27
53,51,447
84,15,21
40,11,6
81,61,2
31,80,193
62,38,33145
66,54,16637
67,12,7657
68,31,3079339
69,44,548759
70,35,1719785
73,28,14061
74,54,3054
78,22,43195
81,42,4470753
96,68,51
114,22,3443
119,13,1820
54,32,3244
56,7,643
60,34,3873
60,44,2783
83,56,33810
84,26,8132
44,5,104
83,58,3160
78,18,1545
96,49,3445
117,2,204
125,46,302
56,37,68
19,13,1148
28,55,109
56,65,181
92,18,32
88,64,1332
99,47,219
116,30,51
12,3,23
95,41,114
70,56,2126
37,71,124
106,4,3996
107,80,96
88,75,543
69,71,30
92,20,425
50,68,26
78,62,20
110,33,10
90,81,8
54,63,17
57,16,4
98,22,30
124,81,163
99,21,1
102,49,67
33,46,29
117,48,4
90,68,11
125,32,3
80,76,1
110,29,2
94,8,57
51,33,26
32,60,4
48,67,5337
50,72,1120
51,40,3341
58,36,1159
64,33,131033
65,29,78939
85,38,933879
88,35,9150
91,26,1919
99,33,18686
106,54,2810
110,22,7849
37,34,141
41,22,30
48,60,772
126,50,1494
122,65,470
82,30,21021
83,15,214
97,54,525
70,61,49
85,21,564
52,63,1448
61,23,2330
97,64,598
30,11,281
36,47,720
65,58,376
89,26,797
98,46,10
31,69,62
33,11,79
79,4,15
17,20,15
31,62,230
87,1,28
74,3,10
45,72,184
94,24,101
21,70,1613
17,26,53
121,37,55
41,32,34
65,69,16
120,72,25
77,5,170
66,62,4
63,19,42
47,54,406
107,14,53
111,6,49
125,81,17
127,5,84
122,27,8
23,34,20
87,10,10
102,53,2
51,73,12
125,79,2
117,26,3
114,24,1
101,56,16
93,9,12
63,12,23
120,82,2
86,4,1
32,62,1
40,67,2158
55,16,2580
66,30,292888
69,35,1786762
70,37,1737760
79,35,4247403
79,59,18366
80,32,28075
83,22,6927
85,37,287531
93,31,71910
96,40,18292
104,51,2363
128,7,209
32,26,557
37,25,49
71,26,23
94,69,1532
126,58,600
27,33,8196
103,50,993
81,0,1132
84,5,1504
62,11,950
102,63,5299
56,1,527
31,65,3436
97,43,887
104,62,42
53,49,3553
52,38,110
77,12,416
94,25,121
104,45,152
46,6,213
28,0,93
14,37,270
2,31,7
127,0,18
42,5,57
46,39,173
65,3,209
66,71,213
109,10,2
32,22,337
62,1,43
111,70,74
82,76,6
105,68,14
25,21,62
116,52,6
48,64,158
58,79,8
67,5,111
54,16,36
101,22,1
99,76,98
78,10,5
126,80,8
82,69,766
117,62,15
37,13,1
37,62,4
23,16,15
41,39,6072
59,43,115495
62,37,40780
64,52,54308
65,44,222721
66,38,212650
67,36,808232
70,39,2018663
70,67,1515
73,56,42888
77,57,50574
86,35,40684
92,40,86944
119,15,2360
119,44,3849
49,59,216
61,49,2534
73,7,1916
25,33,3308
26,30,12714
83,71,1443
87,28,8937
93,69,270
30,42,16
26,42,374
54,69,5
91,69,1499
106,10,9
4,33,280
45,54,70
54,30,76
89,55,22
106,59,25
16,8,8
34,13,32
107,44,28
58,7,34
7,37,29
83,10,127
62,13,185
43,53,14
82,62,1004
67,18,9
27,18,3
120,43,9
48,23,4062
48,68,1
56,14,72
17,60,26
53,8,25
83,65,3
40,61,23
28,74,29
76,0,2
43,27,9
114,59,69
84,16,18
113,11,1
48,43,11684
59,10,1806
64,47,39265
65,30,5321
65,45,16511
67,52,130964
73,30,536288
73,32,1494555
76,23,180987
76,25,81323
77,34,3333482
77,54,88662
79,22,11424
80,44,6794196
84,29,23902
85,48,56770
87,30,12152
89,28,5175
99,45,1905
104,50,2130
115,46,1986
29,41,20
41,41,863
49,57,85
54,56,1187
57,33,10931
76,12,1955
87,38,352
94,29,17808
51,0,632
93,82,781
79,18,1339
18,22,3607
21,28,1230
19,26,65
67,13,522
112,62,11036
69,70,2112
94,47,315
99,39,223
8,5,1124
121,41,111
52,21,289
48,20,84
72,15,183
103,39,338
9,37,222
115,5,84
44,81,161
123,42,83
116,50,269
72,71,133
40,41,944
54,38,121
45,66,7
12,42,69
79,14,13
81,12,174
96,58,1
127,23,19
57,73,30
101,30,67
119,35,2
118,64,12
90,12,16
56,2,124
96,21,9
68,15,10
21,48,436
109,18,1956
40,22,12
33,2,1
29,82,20
4,1,7
51,77,2
113,80,1
40,79,7
10,13,17
33,78,103282
58,69,1590
61,47,27822
64,40,35482
65,50,16890
68,37,1222958
70,47,1114587
75,45,6190955
76,47,1653214
78,38,1581816
80,63,1897
81,19,1970
81,73,6915
88,50,8184
92,28,5764
109,62,21091
121,13,3887
87,56,10821
94,68,5889
109,50,3579
117,54,138
68,22,1632
77,19,1212
103,15,50
41,7,278
101,4,161
38,49,97
82,79,75
117,7,505
55,62,1311
73,78,659
101,66,276
61,25,1569
56,39,1015
45,38,621
69,64,154
38,48,1
103,45,283
62,22,504
47,20,49
90,70,344
30,80,32
108,19,145
59,14,188
107,78,205
55,23,67
56,22,483
47,50,39
47,19,6
124,35,384
54,64,1207
56,66,30
115,9,67
57,53,120
126,71,33
127,36,2
35,82,1
46,55,23
10,3,7
103,68,10
101,59,22
44,21,396
50,78,11
102,76,7
6,15,7
41,9,5
103,52,42
114,25,1
117,22,231
58,21,7975
62,36,81145
67,28,12762
69,37,2368919
69,66,23222
71,58,799
72,31,305530
72,41,7030888
74,39,9721015
75,49,481092
76,33,5116935
78,37,4819959
89,48,3578
97,45,5637
122,7,2120
70,77,1299
118,51,132
125,47,949
40,38,4367
69,78,67
95,80,565
74,59,365
71,77,345
67,64,182
55,68,12
43,32,244
62,71,45
88,74,83
17,18,23
48,27,246
29,1,147
38,70,93
20,33,204
98,29,459
102,28,87
105,76,44
13,48,1
75,65,86
107,67,936
84,63,76
43,36,1309
33,15,328
37,20,99
38,80,151
94,49,67
65,71,403
3,4,295
80,68,26
52,60,7
46,34,7
83,11,130
73,6,3
47,1,239
49,17,9
90,11,308
51,9,660
104,48,26
42,44,19
99,77,9
92,9,16
106,29,3
34,56,7
5,11,2
54,21,117
19,2,113
18,61,5
31,30,2
22,81,1
39,74,5134
44,74,94
56,46,22213
58,43,128268
58,70,227
61,45,38653
63,45,240527
66,36,453852
70,54,3834
73,20,573
80,37,4551590
88,42,13172
91,40,28498
94,34,4770
105,53,2740
118,11,1977
123,11,7050
37,33,104
57,55,4403
118,52,140
123,45,953
61,62,4092
99,11,34
101,3,209
10,6,235
11,7,279
15,11,44
24,58,94
89,18,22
97,42,1416
17,12,55
26,44,71
43,43,103
92,57,1670
98,59,268
115,26,41
85,26,431
79,3,54
91,24,23
88,26,305
108,20,27
96,2,11
67,73,24
125,40,10
91,17,23
109,1,26
40,0,35
83,9,390
49,52,22
30,17,8
47,3,10
111,75,28
91,16,10
51,34,16
23,47,34
79,79,15
86,22,16
48,34,41
113,14,13
17,25,1
105,51,1
120,76,5
32,58,399
37,64,824
40,39,16000
55,1,5239
66,50,153545
69,52,144869
71,28,32898
74,32,337814
80,47,2713965
81,54,31520
84,39,766677
85,42,721213
87,60,13242
94,35,5616
103,48,916
73,27,1954
122,48,1114
50,42,768
56,33,1861
78,50,4202
34,73,281
67,77,345
59,35,4128
91,59,1130
93,48,2118
101,67,240
125,17,239
49,61,450
28,50,83
25,31,2436
100,62,272
105,57,233
113,62,1792
40,2,20
42,66,251
18,17,2
32,55,24
29,77,67
3,33,284
19,61,123
63,71,4
76,65,70
128,11,243
128,32,47
99,60,36
57,48,39
92,17,2
111,11,44
40,74,63
124,18,7
26,27,16
23,26,11
119,39,8
94,17,1
126,79,2
113,44,31
106,37,1
15,38,6
35,3,68
54,5,4040
67,43,1166001
67,71,13714
68,14,1975
70,41,2042855
71,47,1066767
74,44,7675865
84,30,41435
98,62,8746
52,32,1751
55,49,3079
64,28,572
121,47,5
65,59,515
80,16,2927
83,3,1981
90,48,1977
102,64,351
41,62,192
102,42,1330
17,11,24
30,56,57
41,13,188
49,13,905
108,70,3
110,61,397
114,33,169
55,53,543
18,76,43
17,16,2
112,38,19
113,63,2631
96,5,117
59,13,792
110,76,10
62,10,241
65,2,352
122,40,154
80,69,9
35,66,79
13,27,4
102,29,1
90,10,117
104,13,3
90,13,4
108,13,1003
48,30,52
119,47,9
117,34,3
64,11,451
127,74,3
114,31,192
99,54,2
23,9,9
25,8,7
106,47,1
92,13,1
53,22,2
67,32,126097
68,38,1227388
68,68,11635
69,40,2207270
72,47,790654
77,45,11984447
78,26,4712
81,35,2480893
82,37,1542189
83,35,1299342
86,30,93773
89,51,29915
122,45,2902
25,51,1344
32,39,66
33,74,4156
40,25,29
70,79,259
89,37,127
123,46,866
63,58,1047
93,4,1144
33,72,1016
106,64,1118
44,18,25
120,13,294
23,4,16
43,56,156
96,39,3370
60,49,394
36,12,195
77,10,475
21,10,15
8,3,549
41,26,172
53,39,1617
99,62,1024
79,26,325
65,26,28
95,52,1
11,28,16
126,42,14
53,55,17
93,21,485
55,73,57
126,5,73
32,9,26
65,27,47
117,13,115
107,76,9
108,35,18
128,54,3
111,55,36
113,82,3
109,49,2
4,16,14
72,12,23
36,56,7
51,27,1
92,14,3
29,61,1600
57,27,208
63,53,17786
64,36,29079
67,57,54453
70,66,8857
72,18,1531
74,56,106879
77,37,11670391
77,38,7968972
77,49,181539
82,67,4793
87,57,14738
88,38,2449
89,30,47539
89,63,4730
93,30,6651
95,67,3754
96,30,32614
109,20,2086
47,61,640
48,33,144
64,57,1565
99,35,8744
111,49,2484
23,33,144
34,42,63
111,67,102
54,27,1055
103,8,170
15,14,401
108,2,201
72,67,571
109,53,145
50,46,90
38,66,203
103,60,211
38,36,615
59,82,610
116,32,9
114,63,3179
45,11,229
89,76,285
19,77,45
75,5,24
90,64,504
106,40,36
116,6,38
85,28,953
96,6,34
45,53,174
12,28,29
14,27,37
57,38,189
76,66,214
75,66,48
100,14,3
55,27,3606
120,32,255
18,15,153
117,14,21
56,82,6
102,82,4
22,39,1
123,13,148
89,62,155
107,20,3
106,51,15
27,26,34
43,52,7
50,50,36
128,71,3
76,69,3
45,47,9
70,69,37
38,62,9
123,34,22
112,29,117
49,74,10
104,66,7
21,69,1
116,68,495
75,75,4
125,60,1
34,60,25
72,70,18
45,68,3992
46,42,17285
64,54,64987
67,11,5020
69,39,2532666
70,33,288947
74,27,80745
76,36,8630626
77,27,420871
78,35,2508743
79,40,10107548
80,45,2863854
81,10,1591
84,32,61007
85,43,262943
87,44,101275
96,44,6275
107,22,5517
113,22,4959
117,16,786
120,9,3329
123,12,7852
34,70,473
37,81,314
39,37,5149
57,19,2772
73,1,1689
125,57,1715
110,64,1366
54,26,4010
64,72,2426
26,58,57
38,43,396
19,17,1488
51,39,3537
103,63,179
74,72,2015
86,28,1595
22,13,224
92,62,1345
26,40,18
55,64,127
116,66,349
22,59,282
64,7,35
84,23,104
18,74,59
92,74,111
53,75,64
61,76,95
32,77,604
79,75,212
67,75,119
94,42,397
101,34,19
46,53,3
96,45,33
103,40,184
59,66,17
125,55,58
125,56,33
96,43,39
28,16,2
44,19,10
47,44,35
80,26,133
117,51,23
88,79,8
62,76,38
48,37,45
124,30,32
20,70,18
98,30,5
99,0,8
121,80,24
118,74,1
45,56,3651
118,77,3
17,23,6
36,44,1
120,78,1
61,71,22
7,20,1
1,55,5
81,65,250
127,10,41
43,47,4
31,51,14
36,64,970
38,74,18153
55,44,68470
58,44,5482
65,75,18544
66,48,82092
67,53,96961
68,55,44025
71,17,1148
72,40,14637176
76,39,9560063
78,40,12496950
81,41,6659670
81,57,8730
85,46,385601
95,29,20972
102,22,736
25,49,44
34,36,3407
36,29,287
42,69,1277
49,42,2232
49,58,11
75,17,1863
92,34,433
105,50,3528
124,57,694
112,56,297
116,37,5
20,26,1926
92,48,2324
54,49,3473
81,64,609
84,75,993
52,68,505
43,60,234
44,38,1286
16,10,26
35,49,70
53,37,128
109,68,176
80,57,726
119,37,127
10,1,7
26,80,167
59,75,250
104,46,285
45,79,92
56,3,201
71,71,114
113,9,9
50,76,39
45,28,1
50,69,42
96,82,72
125,53,44
80,5,78
118,70,22
118,71,19
33,9,35
53,18,13
120,63,45
112,72,10
25,42,2
58,18,310
125,30,43
53,64,287
124,65,1
49,35,5
29,31,15
46,47,1
44,4,4
41,20,62
121,43,30
111,28,1
112,34,1
113,49,1
105,35,1
71,69,12
28,62,1763
39,73,5010
42,76,473
45,41,6368
45,42,8914
48,55,1026
55,5,720
65,78,17440
66,42,856144
66,55,31592
71,33,87596
71,44,2298773
72,29,9477
72,58,27207
73,25,29211
75,29,1033833
76,41,14120298
79,62,5352
87,32,3892
88,45,11728
88,58,7421
90,52,21181
95,69,5457
96,60,23669
101,61,1684
84,58,36149
95,31,45598
120,48,184
121,48,1404
26,31,3385
47,13,470
90,24,1468
15,12,526
40,46,318
91,49,237
58,27,4642
72,28,3616
42,37,411
93,65,1280
31,11,169
57,63,368
57,28,4472
58,51,1385
91,52,1401
112,37,42
57,75,80
75,3,75
108,79,108
126,41,71
84,69,189
77,67,4
84,66,259
87,73,39
9,10,30
98,60,54
62,75,23
84,22,5
106,25,234
105,30,108
106,8,28
54,7,17
29,45,1
37,16,36
35,62,26
82,60,140
114,41,2
53,6,1
57,49,14
115,30,9
100,52,18
74,74,40
37,79,2238
38,38,5835
56,56,7280
58,46,17310
59,11,6298
60,13,5594
61,31,31264
61,54,25381
65,33,94214
65,73,3762
66,51,134330
67,34,77568
67,55,8206
68,47,690278
70,62,8226
73,44,8186281
78,30,368382
79,32,118132
80,40,5864710
108,56,1453
108,64,6561
110,56,1004
45,64,497
85,59,22396
100,34,7636
101,46,193
108,50,3323
62,65,10636
101,14,2
125,64,509
8,4,93
79,19,17
91,57,3531
18,20,1242
63,11,587
56,26,502
72,2,4885
83,75,436
62,80,184
72,66,726
25,12,253
37,44,792
79,56,258
117,27,33
68,8,134
51,47,81
92,54,1111
50,18,67
29,66,1875
31,61,176
60,74,470
21,33,257
73,10,153
54,73,799
106,69,141
6,30,18
8,30,9
107,49,78
77,76,95
106,0,350
112,5,3
58,8,85
76,63,2156
98,18,1
60,3,80
128,4,32
56,51,3
127,17,33
72,14,185
44,28,11
32,47,6
115,61,105
113,34,5
120,77,14
90,72,1
55,47,9583
60,56,31121
64,45,93992
66,74,11115
70,23,19955
71,45,5449885
71,54,20028
77,36,8576806
80,53,33584
81,37,2207307
97,44,3147
93,23,80
100,75,3843
101,40,933
25,30,4327
42,3,106
58,53,176
94,59,147
99,73,667
50,21,766
88,11,90
83,77,224
83,79,38
115,1,209
60,30,6007
22,69,403
61,24,2086
99,44,299
93,37,718
42,61,219
89,60,432
71,2,93
29,29,176
62,59,46
89,52,290
98,56,206
49,40,575
92,82,3
87,27,791
14,52,131
62,77,516
67,65,82
57,39,1025
19,10,5
35,69,16
59,41,156
45,65,175
45,32,278
49,22,110
25,82,34
127,12,11
84,8,174
96,62,226
122,1,11
27,15,10
99,57,51
98,42,142
100,67,7
30,74,71
29,74,16
88,8,6
103,1,107
53,54,1
113,23,2
101,60,1
28,76,4
66,29,33820
68,24,7021
70,42,3786197
73,57,34693
74,33,722325
76,57,4314
77,41,18039878
88,41,104735
93,43,6554
125,8,1857
41,34,925
53,48,13358
90,49,2162
94,41,996
98,73,5272
77,20,2342
85,12,1868
38,50,741
97,31,9296
68,57,1276
68,78,992
83,72,1767
88,29,3940
76,10,127
102,41,1679
48,52,869
117,66,325
50,37,59
78,3,36
62,25,344
103,37,310
97,78,443
101,71,31
21,35,276
52,19,216
18,29,14
85,80,3
124,16,250
85,65,114
33,18,86
97,69,3725
56,21,172
94,45,506
13,41,52
39,3,6
95,71,10
111,51,79
44,10,79
105,36,84
66,1,8
33,35,105
60,70,54
20,24,11
109,73,7
123,81,5
98,21,6
11,33,35
102,56,4
60,19,1
101,68,1
79,11,1
29,4,5
2,37,9
0,55,4
128,10,13
54,68,1
115,3,2
113,52,18
48,74,315
65,49,88332
69,53,25184
74,48,1442898
77,28,1037715
77,47,2671189
79,61,5309
83,46,40042
83,68,2028
90,45,1016
95,26,6333
111,19,4007
63,24,607
78,49,8669
98,72,2670
122,46,424
92,68,1183
85,8,2081
103,7,341
5,1,124
18,23,1716
37,73,511
39,49,352
19,16,1403
92,25,460
49,14,447
113,4,104
58,31,782
100,66,83
126,18,217
40,66,493
91,33,540
14,4,178
50,63,63
61,73,329
108,4,475
27,30,52
75,72,13
92,19,19
13,37,197
92,53,92
50,77,36
37,58,95
46,33,60
67,19,114
100,20,32
90,56,18
95,23,9
88,78,4
59,79,20
32,21,31
21,11,69
96,19,7
101,18,6
106,6,5
79,80,141
55,71,3
108,7,3
123,26,379
46,29,217
60,66,96
54,1,11
120,42,2
95,53,1
121,23,15
84,81,1
52,49,1445
55,58,16492
64,56,5813
65,4,4846
66,5,894
66,49,20920
68,32,423034
69,65,13856
70,48,266539
70,58,6718
71,30,165292
72,42,7781159
80,39,10017182
81,26,11792
109,21,4110
112,18,1763
118,16,2160
30,68,260
38,40,5391
39,82,228
40,69,2416
52,45,5693
71,79,1081
72,21,555
100,35,7883
123,56,1300
52,47,1584
43,8,187
64,71,419
80,60,3641
104,10,417
14,9,100
106,17,547
106,20,423
30,79,276
17,13,352
64,6,93
65,68,120
49,12,55
28,81,69
102,0,9
115,6,173
0,41,2
74,64,331
76,77,154
98,53,1082
107,60,18
7,58,2
122,54,3
60,8,132
61,10,41
119,3,3
98,51,161
125,52,49
46,43,2
26,20,29
12,9,35
126,65,4
108,14,2
28,56,9
112,59,2
30,82,88
52,18,374
102,52,3
125,67,1
76,14,47
26,46,21
128,79,2
118,60,23
117,31,9
64,80,26
100,9,39
125,77,175
27,76,133
68,46,603827
73,22,12302
74,35,2434302
74,40,8013831
75,32,562443
77,55,112143
80,65,7782
81,1,580
87,33,59685
87,55,8845
96,66,6800
104,61,3957
109,63,8637
116,21,1850
32,25,2841
41,23,129
41,70,282
56,8,701
61,34,71680
62,66,2358
110,66,88
111,64,3385
78,9,5
86,21,998
105,16,2955
27,81,549
40,37,2900
28,37,48
109,66,199
67,9,86
37,70,49
51,18,318
97,7,140
93,32,209
18,30,8
66,64,9
110,77,16
34,25,1105
114,43,126
22,50,204
47,51,174
122,32,39
101,29,2
50,15,185
47,30,66
117,67,9
47,64,61
52,54,5
34,68,136
22,30,76
103,54,13
127,51,4
78,68,19
126,38,11
32,72,14
51,53,13
4,17,24
51,37,4
54,22,26
5,65,415
53,44,22444
62,39,1589
63,63,1970
64,48,19960
66,9,6041
66,27,2400
66,32,8786919
71,31,553454
72,22,9255
75,40,10226617
76,29,2488343
78,46,795828
81,9,2143
84,51,167033
87,42,18300
94,67,7614
96,34,7693
102,48,6557
106,24,4036
110,20,6620
31,35,5035
35,32,696
54,10,1103
89,59,2089
92,61,441
102,78,3811
94,55,125
55,35,4766
59,21,2069
1,20,3
96,41,527
102,18,81
116,25,51
20,59,142
80,62,71
56,62,2
65,28,536
101,72,160
53,20,125
56,77,5
78,76,152
115,49,1
99,30,17
13,40,61
74,77,97
67,81,35
126,54,937
24,11,1
82,8,41
115,8,492
90,80,11
113,10,2
114,61,159
116,40,1
34,45,1
101,48,59
120,22,17
65,7,1
108,42,7
123,33,6
7,15,35
38,27,4
15,23,1
88,9,13
117,10,1
27,77,6
43,70,13317
51,72,708
60,42,6403
61,43,92619
65,18,1470
68,40,2845418
72,59,6020
73,55,3482
84,34,902166
84,38,6433845
86,60,47192
89,42,7382
89,46,11179
99,34,29573
56,6,1550
91,38,7435
127,60,374
59,26,1336
96,74,7550
111,62,6688
124,64,364
51,65,2947
100,49,536
76,1,177
93,44,55
48,61,387
96,28,1079
19,14,778
29,59,2829
78,16,14
85,66,187
63,72,54
49,9,326
46,7,48
22,78,1
71,9,134
62,9,265
114,19,10
34,69,82
70,2,30
79,5,223
105,75,21
103,5,9
110,8,25
0,80,1
86,6,66
120,47,2
99,42,66
43,78,11
32,61,2
33,63,3
18,59,1
14,13,15
105,29,1
62,46,21897
63,48,10944
68,36,689264
70,49,183676
72,25,29636
72,45,4253431
77,23,281276
78,43,7034508
87,31,134562
40,82,157
42,41,1700
63,51,2618
127,59,1136
53,24,1072
18,12,565
62,78,1036
14,5,253
64,4,306
97,73,2187
116,29,611
110,24,157
113,27,148
98,55,15
12,38,216
111,76,271
43,39,106
44,35,22
92,21,491
113,45,69
44,56,34
94,46,55
18,26,83
91,22,10
103,11,216
39,53,33
0,0,27
23,24,38
60,2,55
127,21,166
124,23,104
26,66,9
66,0,35
83,0,22
96,18,26
128,55,5
86,65,16
120,80,12
28,47,2
36,58,24
103,76,1
110,19,3
42,42,32
76,82,8
44,44,2
88,68,27
128,80,1
119,30,22
66,37,247506
68,25,9744
77,42,12136517
78,29,256152
81,25,4175
85,31,28222
85,58,64029
86,31,29357
92,27,2235
101,39,29844
106,23,2195
120,16,2530
121,15,4408
125,4,1039
61,57,8300
75,14,2225
118,49,165
33,40,148
99,79,2206
100,80,236
12,8,221
70,60,281
68,12,150
80,78,265
94,48,2536
95,49,1506
28,53,37
94,61,917
91,58,1563
40,36,3455
84,73,280
15,72,78
110,39,1
67,62,22
103,0,26
49,62,201
96,77,629
19,36,204
104,75,158
54,57,31
85,71,56
127,38,101
81,82,1
46,41,1023
74,82,150
85,70,31
42,7,17
122,15,345
50,56,2
83,76,13
50,61,19
51,61,49
100,57,131
34,32,295
90,14,12
108,37,221
128,35,1
21,50,38
28,28,1
41,44,3
41,59,14
59,72,30
60,72,10
16,68,32
111,42,2
51,63,11555
58,19,5906
61,68,1065
63,52,42747
78,41,14834008
89,33,9375
90,66,13564
118,15,9575
34,27,566
62,56,6151
80,25,180
81,11,263
110,58,423
95,4,460
105,12,251
87,36,30106
54,40,3230
27,67,1460
85,47,828
91,34,1051
7,6,8270
18,11,70
23,13,306
102,60,207
30,58,18
61,59,51
52,22,1025
49,27,100
106,70,66
1,32,127
21,34,90
106,78,146
105,79,46
82,81,20
106,1,69
43,35,97
41,18,113
119,45,15
90,74,98
110,54,283
37,60,108
100,32,25
110,14,126
32,8,6
53,53,3
50,38,664
24,24,17
84,74,190
98,39,133
67,8,30
106,12,39
78,2,20
46,24,40
22,71,2
91,14,60
80,71,5
48,24,41
123,60,2
13,81,78
124,20,8
107,32,4
45,40,4
44,57,1002
52,42,6117
52,61,1704
58,42,12318
61,39,18371
64,49,52619
64,62,4091
65,20,6867
72,32,1643613
72,46,4230821
74,36,4372467
74,46,4600943
81,31,28855
81,34,1174907
82,44,402973
83,33,415074
87,40,357993
36,38,5908
50,59,3355
100,11,16
117,37,193
83,2,680
84,12,1876
91,7,250
101,82,314
61,11,260
62,12,21
95,32,10137
98,28,161
95,48,3902
42,18,173
50,48,39
51,11,585
15,8,10
30,54,55
32,51,79
27,28,249
90,21,259
20,10,26
98,48,351
114,34,7
58,61,767
62,61,14
86,75,632
51,38,361
41,3,8
50,49,105
