经度索引,纬度索引,count
32,57,301
33,57,338
40,76,514
58,38,6752
61,56,28441
62,64,13084
68,54,4358
69,48,430355
70,24,7372
70,43,4795590
74,62,293
79,36,4060338
79,63,2612
86,42,338260
104,27,3230
104,52,2415
106,61,4531
111,22,2637
60,33,1877
86,29,1020
87,37,26750
45,9,552
60,36,4850
90,7,739
93,1,4368
86,54,12514
98,43,1156
58,24,322
71,19,383
63,82,730
52,36,96
55,33,1959
98,57,444
23,57,146
27,80,53
102,1,2942
114,35,52
70,9,3
103,47,218
60,4,24
28,60,184
22,66,1
112,9,1
127,11,520
100,60,380
117,64,115
97,79,87
8,8,7
116,67,11
117,78,17
46,4,15
49,16,56
102,5,9
51,7,2
111,32,117
77,62,56
15,1,53
20,2,1
64,65,183
87,9,1
41,6,1
38,78,560
45,57,519
52,46,14865
54,71,953
55,43,6221
58,45,55564
61,33,12361
64,37,46914
66,53,25371
67,42,1689128
67,56,27626
69,34,1183438
71,48,775569
74,29,704785
75,55,77887
77,48,1057719
77,59,11532
79,33,1420731
80,36,1746154
81,8,1816
85,32,196362
86,32,65567
91,54,8856
92,55,19535
112,22,3445
121,44,3586
24,47,34
42,21,34
45,5,125
100,4,40
21,27,1610
25,58,210
80,80,299
61,78,231
72,68,268
50,11,988
64,5,98
84,71,490
117,28,27
10,7,79
58,49,405
80,74,636
83,81,3
46,40,208
15,26,37
49,55,90
116,64,92
124,3,23
34,19,12
117,41,361
124,22,52
67,6,187
16,77,1
58,78,41
24,64,23
50,35,60
111,10,66
85,5,26
82,65,2
101,52,1
111,81,2
98,7,1
62,81,11
36,0,1
35,79,2354
39,6,353
53,42,5345
56,70,1179
61,37,44121
64,39,23993
65,55,37776
68,29,40919
68,34,351368
71,34,85853
74,19,2873
74,38,5659383
75,57,7880
80,42,5377852
82,18,531
93,27,8153
117,19,985
37,82,48
73,18,476
98,63,3446
101,76,3919
95,75,1038
83,13,2970
98,78,674
23,29,1531
68,61,226
46,16,286
81,79,506
85,22,478
56,27,868
79,57,406
96,53,1164
106,43,107
107,65,25
108,68,90
45,37,288
50,36,51
18,77,31
17,15,10
84,72,70
0,42,2338
15,27,506
86,79,130
37,21,16
118,42,171
63,0,118
18,25,15
127,66,2
38,8,23
79,68,110
98,52,534
41,51,33
120,21,44
100,42,284
83,7,146
104,23,3
22,27,31
71,4,50
77,65,21
107,5,14
66,70,60
26,38,4
127,41,429
75,71,25
43,63,1
114,14,44
99,55,2
25,48,17
32,64,1409
52,71,771
54,70,1052
63,55,18320
66,58,21991
67,10,1918
67,39,1101172
69,18,11870
70,27,10329
73,54,8067
74,25,114655
75,38,9114081
81,32,7740
83,20,6262
83,30,61082
89,50,55757
97,34,12685
109,22,2819
112,19,3372
120,7,171
28,40,45
31,25,320
96,80,702
14,10,279
92,78,318
80,79,696
119,8,667
27,64,657
15,5,3438
98,35,181
77,14,927
19,11,444
98,58,471
115,32,30
24,12,44
59,49,128
56,50,119
32,66,1108
51,17,679
70,10,9
97,5,6
128,46,8
99,32,323
70,0,7
96,3,95
84,19,355
91,21,42
64,16,92
54,65,52
126,51,4
61,2,10
83,17,5
92,24,47
71,7,10
80,7,51
74,12,15
29,16,71
33,34,21
31,44,10
46,70,16
66,12,73
128,29,9
18,55,167
56,71,42
36,23,13
61,19,138
3,11,23
100,59,56
71,10,19
42,15,2
85,13,24
37,17,1
53,23,97
4,5,4
123,61,4
116,49,1
36,77,26391
47,57,1070
52,41,1639
53,46,12387
59,59,18039
62,54,26506
64,77,31686
65,19,6691
67,4,11504
67,40,270079
71,16,134
71,35,90587
76,49,552034
76,55,3364
81,67,2432
82,43,2595218
84,35,985283
88,56,20094
100,47,3343
103,30,4004
111,57,5358
118,17,2034
36,78,6913
41,25,4
94,78,456
123,64,765
52,23,1038
80,13,21
121,10,248
82,73,548
83,73,3088
106,18,766
49,48,119
52,29,5657
